Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,id,description
Hampton,6 Orlando St,3,h,1475000,PI,hockingstuart,2017-04-29 00:00:00,13.7,3188,3,1,2,251.0,0.0,0,Bayside,-37.9411,145.0011,Southern Metropolitan,5454,7933,"Projected 6-person home in a modern building style that will be placed on a spacious plot. This plot is well located and the home will have good solar conditions.

The home has an optimal layout consisting of a hallway with storage space, an open living room and kitchen with large windows and lots of light. Bedroom, one bathroom. From the living room you come out to a pleasant terrace that offers sun from morning to evening. The apartments will have a practical sports shed located separately on the common plot. Walls are supplied with painted mdf boards on the walls and bathroom walls are tiled.

The apartments' contents: Hall, 1 storage room, bathroom, 1 bedroom and living room with open kitchen. GOOD: 49.4m²,

The property is delivered turnkey with good quality and standard, and includes, among other things:

- Tiled floor with heating cable in bathroom.
- 1-bar laminate
- Pre-painted panels on the walls in the living room
- Fibo Trespo bathroom tiles with tile design in the bathroom
- White ceiling tiles in all rooms
- Tiles from the terrace door on the 1st floor
- Balanced ventilation system with heat recovery, recommended by the Norwegian Asthma and Allergy Association
- Automatic water stop system
- Toilet, sink and shower equipment for bathroom
- White painted doors, moldings and windows.

Location
Blakstadheia is a pleasant area, child-friendly and with a short distance to a nursery and primary school, as well as playgrounds and closeness to nature. In Osedalen you will find services such as shops, bank, bakery, cafe and the great new sports complex Frolandia which also contains a water park/swimming hall. The residential area is also well connected to public transport and offers frequent bus departures to, among other things, Osedalen, Sam Eyde vgs and Arendal centre.

The residential area is located free and sunny on one of Blakstadheia's highest points and is already well developed with, among other things, asphalt, street lighting, playground, security fences as well as fine walls and planning. Parts of the field border on green areas and have many fine paths and hiking areas in the immediate vicinity

Follow the road from Arendal to Froland, and turn right at the roundabout towards Blakstadheia/Gullknapp. Follow the road inwards and take the third exit on the left. Take the 2nd exit to the right after a large natural stone wall to enter the field. the apartments are on the left.

Area and content
The project's areas: Usable area
: 49.4 sq m


The following rooms will be included in the project's primary rooms: Hallway, living room, kitchen, bedroom,
The following rooms will be included in the project's secondary rooms: Storeroom

The areas are calculated according to Norwegian Standard 3940. The BTA area indicates the apartment's floor area with external walls and half of the wall facing the neighboring apartment/hallway. The BRA area indicates the living area including internal storage. The P-room area indicates the apartment's usable area of ​​the primary part. The stated areas in the marketing are to be regarded as approx. area. The parties have no claims against each other if the area should turn out to be 5% smaller/larger than the marketed area.

The home's balcony and external storage areas are added for all area specifications.

Delivery of other living spaces
Living room/kitchen: Floor laminate Opus xl white pigmented. Wall panel board 6 tables white, white painted ceiling boards, kitchen fittings as described.

Bedroom: Floor laminate Opus xl white pigmented. Wall panel board 6 boards white, white painted ceiling boards. No furnishing is supplied.

Bathroom: 20x20 tile with raised edge, wall Denver white-3091 high gloss ncs s 0500-n-f1, white painted ceiling tiles. Furnishing according to description.

External shed: Concrete floor, un-clad walls and un-clad roof, no furnishings.

Hall: Floor 30x60 and laminate Opus xl white pigmented. Wall panel board 6 boards white, white painted ceiling boards.

Kitchen delivery
Kitchen fittings are delivered adapted to the home according to the drawing.
A worktop in laminate with a straight edge and fold-down stainless steel worktop with basin is supplied. The kitchen package is estimated at NOK 40,000 including installation and VAT.
The kitchen ventilator is supplied with exhaust to the open air, or connection to a ventilation system in accordance with description in own design drawing.
Single-lever kitchen faucet with swivel spout and separate faucet for dishwasher.

Wardrobe delivery
Wardrobe solutions or cupboards are not supplied.

Bathroom delivery
Equipment overview:
- Shower with mixer tap and shower equipment.
- White washbasin with cupboard and mirror
- Single-lever washbasin mixer.
- Floor-mounted toilet with seat and lid.
- Floor drain
- 200 l water heater.
- Faucet and drain with funnel for washing machine.

Floor: 20x20 tiles with raised edge.
Wall: Denver White-3091 High gloss NCS S 0500-N F1
Ceiling: White painted ceiling tiles

Miscellaneous information
All materials and components are delivered in the usual good quality.

The rights to the drawings according to which the home is built are the contractor's
property and cannot be transferred to, or used by, others without permission. During the construction period, the contractor can use the house free of charge for viewing for our customers.

We reserve the right to make changes to construction and possibly materials, if this does not result in changes in price or quality. If there is a discrepancy between the drawing/prospectus and this description, this description applies.

For the execution of carpentry work, tolerance class PD in NS 3420, 4th edition 2008

applies. For the execution of brickwork, tolerance class PD in NS 3420,
4th edition 2008 applies.

Wood is a living material that is affected by temperature fluctuations and humidity, it must therefore be assumed that minor cracks occur on wall and ceiling surfaces and in mouldings. This is not covered by the right of complaint.

Stalls
Outdoor sports shed of approx. 5 square meters.

Garage/parking
Parking on the condominium's common grounds.

Construction
Foundations
Soles, ring walls, strip and point foundations are reinforced and cast on a settlement- and tele-secured substrate.

Floor on the ground
Floor is reinforced, cast and fine-leveled with a tolerance adapted to the floor covering/ parquet/ laminate/ tile.
Fall to drain in wet rooms in accordance with requirements in technical regulations. Add radon sealing in the concrete construction in accordance with the requirements of the technical regulations.

BEAM LAYER/FLOOR/CEILING
The beam layer is dimensioned according to NBI's joist layer tables. Joist layers MUST NOT
be loaded with a cast floor, fireplace/fire wall or other major loads without prior written clarification.

Girders
Spruce glulam girders in paint quality. Girders with large spans in living spaces are delivered in steel and boxed in with pre-painted wood fiber boards or plaster.

WOODEN EXTERNAL WALLS External
walls in living rooms are built of 198 mm half-timbered timber. On the outside, windproof panels are installed as well as battens and primed double-folded horizontal cladding or vertical folded cladding in accordance with drawing. Corners and transitions are secured with cardboard strips to achieve extra windproofing. The space between the posts is filled with 200 mm mineral wool. Inside, the walls are covered with plastic foil and pre-painted wood fiber or mdf boards in dry rooms, and bathroom boards in the bathroom and bathroom/sink.

External walls on the main floor
Cladding, battening, windproof board, 198 mm half-timbering, 200 mm mineral wool, plastic foil with clamped joints, pre-painted wood fiber or mdf boards in dry rooms.

INTERIOR WALLS IN WOOD
Internal walls are made of half-timbered timber clad on both sides with pre-painted fibreboard/mdf boards in dry rooms and bathroom boards in bathrooms.

Interior walls between living rooms
Min. 98 mm half-timbering, pre-painted fibreboard/mdf boards in dry rooms, on both sides.

Sound wall in vertically divided housing
Sound walls are built as two separate walls of 98 mm half-timbered timber with min. 50 mm space. The walls are insulated with 100 mm mineral wool and clad internally with 1 layer of plasterboard and 1 layer of pre-painted fibreboard/mdf boards in dry rooms .

FACADE
CARPENTER WORK
The work is carried out in accordance with our drawings and details. Our professional responsibility is followed up with our own construction management. Tolerance class PD in NS 3420, 4th edition 2008 applies to permitted deviations in the design and surfaces.
DISCLAIMER
EXTERIOR ROOFS AND ROOFING
As a load-bearing roof structure, rafters or rafters and rafters in combination are used. These are made from strength-graded materials and dimensioned according to current standards. The roof structure is ventilated and roofed with tiles.
BALCONIES/TERRACES/OUTDOORS
Balcony/terrace
door Frame and lining in white painted

BALCONY
Beams, floorboards, railings, posts and top row are supplied in pressure-impregnated materials, without color treatment. Railings are delivered in a height of 90 cm in accordance with facade drawing.

Terrace on land
Terraces on land are delivered with 6 m2

Balconies/Terrace/Patio
BALCONY
Beams, floorboards, railings, posts and top row are supplied in pressure-impregnated materials, without color treatment. Railings are delivered in a height of 90 cm in accordance with facade drawing.

Terraces on land are supplied with 6 m2

Extra ceiling
EXTERIOR ROOFS AND ROOFING
As a load-bearing roof structure, rafters or rafters and rafters in combination are used. These are made from strength-graded materials and dimensioned according to current standards. The roof construction is ventilated and covered with cardboard.

Storage solutions
A storage room of 5 square meters is provided.

Fire protection
FIRE PROTECTION
1 piece is delivered. smoke alarm and 1 pc. 6 kg's ABE powder fire extinguisher for each housing unit.

Smoke detectors Smoke
detectors are connected to a power supply and must have battery backup. If necessary, several smoke detectors in a housing unit are connected in series.

Doors
WINDOWS
All windows are delivered in white, either in wood or PVC. Closing windows are childproof. Fixed or shutter windows are delivered in white, frame and linings in MDF/wood. Windows with a fixed frame are marked with F on the drawing.

Surfaces and cladding
Cladding is delivered ready primed.

Intercom
A wireless doorbell is provided

Sanitary
THE PLUMBING The
plumbing is carried out by an authorized plumber. All water lines are supplied as a plastic pipe-in-pipe system. Wastewater lines are supplied in plastic (ABS/PP) or as MA where this is required. Sanitary equipment in white design and fittings are supplied from recognized manufacturers.

Water pipes
Distribution of hot and cold water is hidden in joists and wooden walls. A pipe-in-pipe system is used.

Sewage pipes Sewage
pipes are hidden in joists and wooden walls. In some cases, it is necessary to lay the pipes encased in a visible box.

Equipment
Equipment for each individual home is placed according to the floor plan.
Equipment overview:
-Shower with mixer tap and shower equipment.
-White wash basin with cabinet and mirror
- Single-lever basin mixer.
-Floor-mounted toilet with seat and lid.
- Floor drain -
200 l water heater.
- Faucet and drain with funnel for washing machine.
- Single-lever kitchen faucet with swivel spout and separate faucet for dishwasher.

Ventilation
VENTILATION
A balanced ventilation system with highly efficient heat recovery is supplied. Extraction takes place in bathrooms and possibly internal storage rooms on the residential floor that are not against an external wall. Fresh air is blown into bedrooms and other living spaces without exhaust connected to the system.

Balanced ventilation system
Heat recovery and control unit located in an internal storage room and with ducts to all relevant rooms. Where other technical installations come into conflict with the ventilation system, the ventilation pipes will be laid in ducts that are covered with ceiling or wall panels.

Kitchen extractor hood The kitchen
ventilator is supplied with exhaust to the outside air, or connection to a ventilation system in accordance with description in own design drawing.

Progress plan and completion
Construction of the project starts at 60% pre-sold of the total purchase price . The
contractor reserves the right to a construction loan.

Upon takeover, there must be a certificate of completion or temporary use permit, see separate section on certificate of completion.

Heating
Electric

Road, water and drainage
- public
The condominium is responsible for private culverts to the buildings."
Keilor East,16 Roberts St,4,h,900000,S,Nelson,2016-03-12 00:00:00,12.8,3033,4,2,1,289.0,125.0,2011,Moonee Valley,-37.7506,144.8689,Western Metropolitan,5629,3440,"Blårysjåsvegen 14 is a pleasant cabin over one level, with a loft, and has a sunny location in scenic surroundings. The plot consists of some natural land but also has nice lawn areas that can be used for ball games and play. The sun can be enjoyed on a west-facing terrace which is partially covered. Installed electricity, borehole water and mini sewage treatment plant. Parking in the gravelled courtyard, and an outbuilding of 10 square meters provides extra space.

The cabin is a classic cabin style with pretty wooden floors and paneled walls. The living room is light and airy and has plenty of space for both a sofa and a dining area. It is an open solution for a nice kitchen with bright, profiled fronts. The cabin has 2 bedrooms in addition to a loft with extra beds. Cabin bathroom with shower cubicle and bathroom fittings with washbasin, and a separate practical toilet room."
Sunshine West,1/40 Warmington Rd,3,h,305000,SP,Jellis,2016-06-27 00:00:00,13.5,3020,3,1,2,367.0,114.0,1970,Brimbank,-37.8018,144.8246,Western Metropolitan,6763,6099,"Idyllic detached small house with garden bordering and even overlooking the Domaine des planes vineyard, 200m from the golf course, Green Village area, equestrian center, 4-5 km from the beaches and St Raphael / Frejus /St Aygulf. Lovely surroundings and great views. Fenced area with communal pool including children's pool. 4(6) beds (1 large bedroom and a good sofa bed for 2 in the living room and a loft with two mattresses). Well equipped. 50 min from Nice airport."
Endeavour Hills,44 Denton Dr,3,h,630000,SP,O'Brien,2017-07-29 00:00:00,28.5,3802,3,2,2,581.0,128.0,1985,Casey,-37.98418,145.27178,South-Eastern Metropolitan,8443,11991,"Ali Hashmi at EIE Stovner is pleased to present Stovner Senter 32! A spacious 5-room freehold o/2 floor with 2 bathrooms, 3 terraces, garage space, popularly located in Stovner with close proximity to Stovner centre.

- Continuous 5-room o/2 floor
- Detached
- Penthouse
- 3 large terraces
- 2 bathrooms
- 4 bedrooms
- 1 internal storage room
- Hot water account included in the common expenses
- Garage space
- Central location
- Schools and kindergartens nearby
- Immediate proximity to Stovner center and public communication

See Stovnersletta Boligsameiet's website at www.stovnersletta.no for further informatio"
Noble Park,18 Arnold St,3,h,635000,S,Purplebricks,2017-06-17 00:00:00,22.7,3174,3,1,4,585.0,0.0,0,Greater Dandenong,-37.97267,145.18262,South-Eastern Metropolitan,11806,9659,"Great terraced house with large and cozy outdoor areas, located in Albiråsen. Only 10 minutes' walk to the center and 15 minutes to Albirstranden! The house has modern furnishings. Unobtrusive location in a cul-de-sac - without traffic noise.

The property is from 2011 and has just received new furniture and good mattresses/beds adapted to Norwegian standards. The house is well maintained, very well equipped and has everything you need for a good stay. Large TV, dishwasher, washing machine, fridge and freezer, coffee maker and Dolce Gusto coffee machine, toaster iron, toaster, smoothie machine, separate tap for drinking water etc.

Great outdoor area with large private pool (11x5m) and outdoor shower.

ABOUT THE APARTMENT:
1st floor:
kitchen, laundry room, wc, living room with a good sofa bed (with the possibility of 2 beds) and good armchairs, light and nice dining room.
Large selection of Nordic & European TV channels. Fast 300 Mbps wireless internet.
2 air conditioning hot/cold in the living room.

2nd floor:
3 bedrooms and 2 bathrooms, where one bathroom belongs to the master bedroom.
Bedroom 1: large room with double bed, large sliding wardrobe, chest of drawers. Air conditioning hot/cold, parquet floor. This bedroom has a spacious terrace with space for two good chairs.
Bedroom 2: double bed, large sliding wardrobe, chest of drawers, air conditioning hot/cold, parquet floor, French balcony.
Bedroom 3: double bed, large sliding wardrobe, chest of drawers, air conditioning hot/cold, parquet floor, French balcony.

Roof terrace:
Spacious roof terrace with fantastic views towards Alfaz del Pi, Altea and some sea views Here you can really enjoy the good life in the sun!

Parking:
Private parking for two cars with remote controlled gate inside the property.

Pool and outdoor area:
Large private pool with outdoor shower. Weekly maintenance. There is plenty of space both in the sun and in the shade. There are plenty of sunbeds and umbrellas. Also access to communal pool (with children's pool) on the other side of the street. Dining room and chairs outside. Men's and women's bikes.
New 2021: Seating area outside the kitchen, ""wall box"" on the wall

NB! Smoking is not allowed inside the house!
The property is approved for rental by the Spanish authorities. Refnr: VT-460107-A

TRANSPORT:
Albir is located approx. 45 minutes from Alicante airport. You can easily get to Albir by rental car, taxi, bus and train.

WEEKLY PRICES 2022:
Oct: €1000
Nov+Dec: €750

WEEKLY PRICES 2023:
Jan-Feb: €650
March: €700
Apr: €1000
May: €1250
June: €1600
July+Aug: €2200
Sept: €1600
Oct: €1000
Nov+Dec: €750

Internet: Included in the rent.
Electricity: Included in the rent.
Final cleaning: €100
Deposit short-term rental: €500

Daily prices (min. 3 days): on request

Winter rental from mid-October to April is possible. Price depending on length and number of people. Own prices on request.
Deposit for long-term rent: 1 month's rent
With monthly rent, real consumption of electricity is added.

Feel free to contact us if you have any questions :)

ABOUT ALBIR:
Albir is a small seaside resort located between Benidorm and the artist town of Altea. Here you have many grocery stores, a number of restaurants, pharmacies, bars, nightclubs etc within walking distance of the house. In addition, a fantastic beach promenade that goes all the way to Altea.
Fantastic hiking terrain nearby. Several water parks, swimming with dolphins, amusement parks etc 5-10 minutes drive from the house. For those interested in golf, there is a driving range in Albir and 3 courses within 10 km. The swimming beaches here are of high quality and are looked after and cleaned daily. Highest certification and crystal clear water.

Albir is one of the few places on the Costa Blanca that is full of life all year round. There are around 100 different restaurants here, many with their own specialities. If you have first arrived in Albir, you are not dependent on a car, as it is within walking distance of ""everything"". Albir also has a Norwegian school, Norwegian doctors and dentists and the Seamen's Church is close to the home.

Altea is known for good restaurants and pleasant narrow streets in the old town. These are worth a visit! Benidorm, with its famous beaches and with its old town is well worth a visit for shopping and pleasure. Benidorm is 5-10 minutes from Albir.

THINGS TO DO:
Apart from swimming in the pool and sea, the Sierra Helada nature reserve is accessible on foot from Albir with great marked trails. The El Faro del Albir lighthouse is also a popular destination.
The mountain village of Guadalest is one of Spain's most visited sights and is located 40 km from Albir.
The big city of Valencia is about 1 hour and 20 minutes from Albir.
For children & young people, Benidorm has 3 large amusement parks: Terra Mitica, Mundomar and Aqualandia."
Windsor,14 McIlwrick St,2,h,1300000,VB,hockingstuart,2017-09-16 00:00:00,4.6,3181,2,1,1,258.0,0.0,0,-,-37.85591,144.99356,Southern Metropolitan,4380,12884,"This is a cozy cabin in Fardalen with a lot of charm. The cabin has an idyllic location with easy access to great hiking opportunities. The cabin has a secluded and scenic location in Fardalen, with a nice footpath from the main road up to the cabin. It is a short distance from the main road. There is a wooded area in front of the cabin, which creates an unabashed atmosphere at the cabin yard. The cabin has a simple standard, and is perfect for those who want a ""creep-in"" in the mountain home."
Bulleen,1/7 Westwood Dr,3,u,812500,S,Barry,2016-11-19 00:00:00,11.8,3105,3,1,1,421.0,0.0,0,Manningham,-37.7798,145.1023,Eastern Metropolitan,4480,1496,"Welcome to Gamle Fjellvegen 330! A neat and well-kept holiday property with a good location in scenic surroundings and great hiking terrain. A cottage and an annex have been built on the property, which form a pleasant yard together with a large terrace. The cabin is on one level and contains a hallway, toilet room, bathroom, 2 bedrooms and an open-plan living room and kitchen. Annex w/insulated room and utility room as well as storage. Driveway all the way to the cabin wall with a built-up parking space.

Leisure property with a sheltered and nice location in a well-established and popular cottage area at Brumund in Vang. Sunny property located in a relatively snow-sure area with a short distance to marked ski slopes that take you into the beautiful Hedmarksvidda. In summer, you can walk or cycle for miles along roads and paths in idyllic forest and mountain terrain."
Essendon North,5/8 Keam St,2,u,445000,PI,Barry,2017-05-27 00:00:00,8.2,3041,2,1,1,92.0,63.4,1970,Moonee Valley,-37.7388,144.89983999999995,Western Metropolitan,1308,10265,"W Eiendomsmegling Bergen Sentrum v/ Christina Erstad and Gaute Nyland are pleased to present St. Halvards vei 29. The apartment appears bright and modern with a practical floor plan and consistently good standard.

The apartment is located in a quiet and established street in central Kronstad, a stone's throw from Haukeland Hospital. Within walking distance from the front door you will find Haukeland and Høgskulen på Vestlandet. Should you wish to travel to Bergen City Centre, this will take you approx. 10 minutes by car, but if you would rather use public transport, there is a light rail stop and a bus stop nearby.

The following have been highlighted:
* Balcony of 9 m2
* Attractive and central location
* Good layout
* Great walking opportunities in the immediate area
* Short distance to shops

Welcome to the viewing!"
South Yarra,8/3 Barnsbury Rd,2,u,505000,S,LITTLE,2016-07-30 00:00:00,3.3,3141,2,1,1,0.0,72.0,1969,Stonnington,-37.8453,145.0012,Southern Metropolitan,14887,5715,"
This is the apartment for those who want to live easily and centrally, but at the same time in a sheltered location.

A spacious 3-room apartment in an attractive location, which can offer, among other things, the following qualities:
- Smart kitchen from 2017 with condition grade 1 from the appraiser.
- Bathroom and toilet room upgraded in 2017.
- Separate laundry room.
- Good layout.
- Balcony with good sunny conditions and little visibility.
- Two spacious bedrooms, as well as an office/dressing room adjacent to the bedroom/hallway.
- Great hiking opportunities in the immediate vicinity in both summer and winter.
- Wood burning as a heating source.
- Well-run housing association.
- Plenty of storage space in 2 private sheds in the basement.
- Walking distance to grocery store.
- Good bus connections to the center of Trondheim and the city's universities.

Get in touch to arrange a private viewing!"
Bentleigh East,5D MacKie Rd,3,t,950000,PI,Buxton,2017-06-17 00:00:00,13.8,3165,3,2,2,163.0,0.0,0,Glen Eira,-37.9217,145.0733,Southern Metropolitan,10969,9431,"The property has the very best location in the Tangen - Oksval area. Short way to and from Nesodden wharf.

Substantial detached house with 7 bedrooms, 4 bathrooms and guest apartment. Water-borne heat in all floors.

Bordering the sea where there is a shoreline of approx. 10 meters. Here you can take a morning bath before work.

Panoramic sea view towards the Inner Oslofjord and with the city of Oslo in the distance.

Relatively shameless.

Very good sunny conditions.

Short walk to public transport - bus stop (Nedre Movei) just above the property where the bus takes 3 minutes to Nesoddtangen pier. From here, the Nesodd boat goes to and from Aker brygge - crossing time approx. 25 minutes - sam to Lysaker during rush hour.

THE PROPERTY IS SOLD IN PARALLEL WITH THE PROPERTY LOWER MOVEI 30A, AND A COMBINED SALE MAY BE CURRENT. CHECK FINN CODE 268994043"
Brunswick East,1/51 Brunswick Rd,2,h,620000,S,Nicholson,2017-07-29 00:00:00,4.0,3057,2,1,1,123.0,79.0,1960,Moreland,-37.7784,144.97404,Northern Metropolitan,5533,11917,"Welcome to Collets gate 54 - A pretty and space-efficient 2-room apartment, with a good location on the building's 3rd floor. The floor plan consists of a practical open living room and kitchen, a spacious bedroom and a tiled bathroom with a washing machine. The apartment is secluded, in green surroundings, but at the same time very central with walking distance to everything a rich city life can offer.

In short:
* Perfect first-time purchase
* New kitchen in 2022
* Tiled bathroom with heating cables
* Arrangement for washing machine in bathroom
* IN arrangement on joint debt
* Low costs - no doc. fee
* No right of first refusal
* Possibility to rent a parking space after a waiting list

Welcome to a viewing!"
Heidelberg West,138 Outhwaite Rd,3,h,690500,S,Ray,2016-09-17 00:00:00,9.4,3081,3,1,2,605.0,0.0,0,Banyule,-37.7386,145.0447,Eastern Metropolitan,2674,3303,"The private estate agent Lillehammer is pleased to present this attractive and substantial property in Sikkilsgrenda.

The cabin has a consistently good standard and appears to be very well maintained with a practical and good layout. Emphasis has been placed on good quality in the choice of materials and furnishings. The cabin was designed by Hille og Melbye architects and was built in 1999.

The property is unashamedly located in scenic surroundings of approx. 950 m above sea level Large freehold plot of over 4.6 acres with good sunny conditions and fantastic views of the surrounding countryside. Child-friendly location in quiet surroundings. From the cabin you have fantastic hiking opportunities all year round, whether on foot, on skis, by canoe or by bike.

The property consists of the main cabin, annex and garage.

Contact the broker to arrange a private viewing."
Carnegie,12/66 Woornack Rd,1,u,250000,PI,hockingstuart,2016-10-09 00:00:00,11.4,3163,1,1,1,0.0,34.0,1960,Glen Eira,-37.8982,145.0625,Southern Metropolitan,7822,1732,"DNB Eiendom ved Joachim Hoff is pleased to present Fagerbakken 20. A nice 3-room apartment in a horizontally divided semi-detached house with a sunny balcony and garage located in an established residential area within walking distance of the center of Askim.

The buyer of this property gets their own garage space, two storage rooms and a shared laundry room in the basement, half of the attic with lots of storage space and an apartment that contains a hallway, two bedrooms, bathroom/wc, kitchen and living room with access to a west-facing balcony.

The apartment has a generally good standard with several significant upgrades over the past 7-8 years such as new windows, new safety cabinet, new heat pump, new kitchen, new floors and painted surfaces. Some future maintenance and refurbishment should nevertheless be expected and we encourage interested parties to read the condition report."
Balwyn North,7 Clifton St,4,h,1400000,PI,hockingstuart,2016-08-10 00:00:00,9.2,3104,4,2,2,714.0,0.0,0,Boroondara,-37.8007,145.1002,Southern Metropolitan,7809,615,"Welcome to Harald Sohlbergs vei 32 and this 4-room apartment on the 4th floor! This is a rich and spacious apartment with a practical layout located in a family-friendly and pleasant area. The apartment consists of three bedrooms, a bathroom and a toilet, as well as a separate kitchen. Inside, the apartment appears to be in need of modernisation, where there are great opportunities to put your personal touch on the rooms. From the living room there is access to a large glazed balcony with a nice view. The housing association has nicely designed common areas and the apartment has access to a garage space in the common facility.

Worth noting:
- 4-room apartment on the 4th floor
- Glazed balcony of 10 m2
- Parking in a shared facility
- Easy access to public transport"
Boronia,1/347 Boronia Rd,4,t,740000,PI,Barry,2017-12-08 00:00:00,25.0,3155,4,2,2,261.0,0.0,0,Knox,-37.85784,145.26022,Eastern Metropolitan,9704,10917,"Welcome to our family-friendly home located in Zaton bay, just 8km (5 miles) from the Old Town - historical center of Dubrovnik.

This stylish home delivers ultimate privacy with amazing sea views, a private basketball court, a heated swimming pool, outdoor Jacuzzi and all the space for up to 8 guests, making it ideal for families!

The interiors ooze with rustic charm and modern décor refreshing style. The fully equipped kitchen has everything you may need during your stay and dining room by the kitchen offers a big dining table with chairs, perfect for some quality time over a meal. The lounge is cozy with two large sofas and satellite LCD TV. From the living room there is access to a balcony to enjoy pleasant summer evenings and the sea view.
Two bedrooms have king beds and the other two bedrooms have twin beds which can be made up as a king bed if there are couples staying.

For beach lovers, the local beach is only 300m from the house. Restaurants, the supermarket, bars and more all within a short walking distance from the house.

What makes this property particularly special is the 290 square meters (3,122 square feet) outdoor secluded area for your privacy.

This spacious outdoor area boasts an attractive stone pool deck, which receives plenty of sunshine and is surrounded by sunbeds and parasols. For those who love to lay back and relax, or read a book on the hammock, you will love the private heated pool and the bubbling Jacuzzi.
For the more competitive ones, enjoy a game of basketball on the private court, or even some rounds of table tennis! When the sports (or simply lounging) get you hungry, the covered pergola with summer kitchen, dining area and BBQ is a perfect spot for enjoying a leisurely evening 'Al fresco'."
Croydon,22 Hull Rd,3,h,720000,VB,McGrath,2017-06-24 00:00:00,23.0,3136,3,2,2,815.0,0.0,0,Maroondah,-37.7969,145.29273999999995,Eastern Metropolitan,11925,9853,"Lønningsflaten 21 is located in an attractive business area in Liland/Flesland in Blomsterdalen.
The business area's central location makes access from Flesland, as well as Kokstad/Sandsli easy and efficient.

The property consists of warehouse/production on the 1st floor, warehouse and office on the 2nd floor and office with social room on the 3rd floor.

Access
From the center of Bergen, drive Flyplassvegen towards Flesland Airport.
Take the Ytrebygdsvegen at the Birkelandskrysset.
Continue on and take Fleslandsvegen at the roundabout.
At the roundabout at Espehaugen, turn right onto Løningsvegen and further right onto Lønningsflaten.

Location
Lønningsflaten 21 has a very attractive location in Flesland with immediate proximity to other large businesses in the same area.
Good accessibility with public transport hubs at Birkelandskrysset and Flesland Airport.
There is a total of approx. 60 parking spaces if the outdoor area is used for that.

Standard
The building maintains a very good standard with, among other things:
- Two good ventilation systems with good capacity
- Electrical system with a capacity of 640 amps.
- Passenger lift
- A total of 4 drive gates into the warehouse
- Access from the warehouse on the 2nd floor to the warehouse on the 1st floor with a truck
- Great meeting rooms
- Canteen with commercial kitchen

Contents
1st floor (2,044 sq m):
Warehouse/production on the entire floor. High stock of parts with approx. 7.5 meter ceiling height.
There are a total of 4 drive gates. Two large gates, one of which has a loading ramp.
Two smaller in to warehouse with lower ceiling height.

2nd Floor (1,965 sq m)
Furnished with offices and some test lab/warehouse. The proportion of warehouse/office can be adjusted.
There is access from the warehouse to the warehouse/production hall on the 1st floor. both with stairs and with a gate for trucks.

3rd floor (1,070 sq m)
Furnished with beautiful offices, meeting rooms, canteen etc."
Balwyn,46 Yongala St,3,h,1850000,S,Fletchers,2016-08-28 00:00:00,9.7,3103,3,1,1,607.0,0.0,1950,Boroondara,-37.8058,145.0781,Southern Metropolitan,5682,583,"Vestsideveien 163 (main residence)
The home has a living room, kitchen, bathroom, toilet, laundry room and 3 bedrooms
Tiled bathroom with bathtub and laundry room with shower corner
Partly covered south-west facing veranda of approx. 17 sq m
Integrated double garage of approx. 53 sqm with electric car charging
Vestsideveien 161
The home has a living room, dining room, kitchen, bathroom and 2 bedrooms
Tiled bathroom with free-standing bathtub
The homes are in need of renovation
Immediate proximity to bus stop
Walking distance to primary school with footpath all the way to the front
Proximity to superb hiking and recreation areas"
Sunbury,60 Heysen Dr,3,h,420000,S,Raine,2017-01-07 00:00:00,31.7,3429,3,1,2,466.0,101.0,1985,Hume,-37.57282,144.70553,Western Metropolitan,14092,8959,"Lovely atmosphere and a super property to gather family and friends. The cabin is perfect for several generations.

The property is snow-safe at 913 meters above sea level. It also has a sunny location with a great view - everything is there to enjoy great days in the mountains. Here it is right out on ski and hiking trails in summer and winter. If you want alpine skiing, you just have to put down straight on the outside out of the door. The cabin has easy access and a driveway right up to the door. Electric car charger is installed.

1st floor: Entrance, living room and open plan kitchen, two bedrooms, bathroom and storage room. External storage.
2nd floor: Attic living room, two bedrooms and toilet.

The cabin has a large, southwest-facing terrace where life and the view over towering mountain peaks, untouched terrain and illuminated cabins in the immediate area can be enjoyed.

Welcome to the mountains!"
